target,horizon,group,mean,std,count
air_temperature_c,1,all,0.039333853870630264,1.3331716060638428,23550
air_temperature_c,1,day,0.04259851574897766,1.4511165618896484,11808
air_temperature_c,1,night,0.036050837486982346,1.202949047088623,11742
air_temperature_c,1,statistical_extreme,0.2977185547351837,1.8245739936828613,4213
air_temperature_c,1,normal,-0.01696106232702732,1.1922893524169922,19337
air_temperature_c,1,greenhouse:AICU,0.025152362883090973,1.2015258073806763,3925
air_temperature_c,1,greenhouse:Automatoes,0.05501704663038254,1.64348566532135,3925
air_temperature_c,1,greenhouse:Digilog,0.04499358683824539,1.5202258825302124,3925
air_temperature_c,1,greenhouse:IUACAAS,0.052523139864206314,1.3600003719329834,3925
air_temperature_c,1,greenhouse:Reference,0.028848251327872276,0.977216362953186,3925
air_temperature_c,1,greenhouse:TheAutomators,0.02946873940527439,1.184428095817566,3925
air_temperature_c,2,all,0.04006394371390343,1.330458164215088,23550
air_temperature_c,2,day,0.04259851574897766,1.4511165618896484,11808
air_temperature_c,2,night,0.03751511871814728,1.196912407875061,11742
air_temperature_c,2,statistical_extreme,0.3088492751121521,1.7995206117630005,4209
air_temperature_c,2,normal,-0.018429288640618324,1.1964424848556519,19341
air_temperature_c,2,greenhouse:AICU,0.02745939791202545,1.194403886795044,3925
air_temperature_c,2,greenhouse:Automatoes,0.0553182028234005,1.6384884119033813,3925
air_temperature_c,2,greenhouse:Digilog,0.04456128180027008,1.5222265720367432,3925
air_temperature_c,2,greenhouse:IUACAAS,0.05193879082798958,1.3619567155838013,3925
air_temperature_c,2,greenhouse:Reference,0.030287250876426697,0.9719762206077576,3925
air_temperature_c,2,greenhouse:TheAutomators,0.03081873059272766,1.1797866821289062,3925
air_temperature_c,3,all,0.040771882981061935,1.3280946016311646,23550
air_temperature_c,3,day,0.04259851574897766,1.4511165618896484,11808
air_temperature_c,3,night,0.03893497958779335,1.191638708114624,11742
air_temperature_c,3,statistical_extreme,0.3189564347267151,1.7792789936065674,4204
air_temperature_c,3,normal,-0.01967925764620304,1.1994589567184448,19346
air_temperature_c,3,greenhouse:AICU,0.029196161776781082,1.1886473894119263,3925
air_temperature_c,3,greenhouse:Automatoes,0.05624965578317642,1.6363165378570557,3925
air_temperature_c,3,greenhouse:Digilog,0.044163793325424194,1.5218075513839722,3925
air_temperature_c,3,greenhouse:IUACAAS,0.051967475563287735,1.3610444068908691,3925
air_temperature_c,3,greenhouse:Reference,0.03145744279026985,0.9689111113548279,3925
air_temperature_c,3,greenhouse:TheAutomators,0.03159678354859352,1.1767696142196655,3925
air_temperature_c,4,all,0.0416569747030735,1.3251279592514038,23550
air_temperature_c,4,day,0.04259851574897766,1.4511165618896484,11808
air_temperature_c,4,night,0.040710143744945526,1.1849985122680664,11742
air_temperature_c,4,statistical_extreme,0.3298322260379791,1.7555910348892212,4199
air_temperature_c,4,normal,-0.020874569192528725,1.2026113271713257,19351
air_temperature_c,4,greenhouse:AICU,0.030933471396565437,1.1819229125976562,3925
air_temperature_c,4,greenhouse:Automatoes,0.05718306824564934,1.6350374221801758,3925
air_temperature_c,4,greenhouse:Digilog,0.04415684565901756,1.5207265615463257,3925
air_temperature_c,4,greenhouse:IUACAAS,0.05265557020902634,1.358487606048584,3925
air_temperature_c,4,greenhouse:Reference,0.03247172012925148,0.9660153985023499,3925
air_temperature_c,4,greenhouse:TheAutomators,0.032541193068027496,1.1719903945922852,3925
air_temperature_c,5,all,0.042549051344394684,1.3220151662826538,23550
air_temperature_c,5,day,0.04277481138706207,1.451322317123413,11802
air_temperature_c,5,night,0.042322251945734024,1.1779062747955322,11748
air_temperature_c,5,statistical_extreme,0.33998143672943115,1.7311192750930786,4194
air_temperature_c,5,normal,-0.021897708997130394,1.2057204246520996,19356
air_temperature_c,5,greenhouse:AICU,0.032671503722667694,1.1743346452713013,3925
air_temperature_c,5,greenhouse:Automatoes,0.057764481753110886,1.6345937252044678,3925
air_temperature_c,5,greenhouse:Digilog,0.04429583251476288,1.521034836769104,3925
air_temperature_c,5,greenhouse:IUACAAS,0.053938914090394974,1.353843092918396,3925
air_temperature_c,5,greenhouse:Reference,0.03299809992313385,0.9640357494354248,3925
air_temperature_c,5,greenhouse:TheAutomators,0.033625464886426926,1.1657402515411377,3925
air_temperature_c,6,all,0.04375709965825081,1.3183525800704956,23550
air_temperature_c,6,day,0.04310936480760574,1.451440453529358,11796
air_temperature_c,6,night,0.04440715163946152,1.169662356376648,11754
air_temperature_c,6,statistical_extreme,0.3508796691894531,1.7047621011734009,4189
air_temperature_c,6,normal,-0.02269279956817627,1.2085046768188477,19361
air_temperature_c,6,greenhouse:AICU,0.03422510251402855,1.1663703918457031,3925
air_temperature_c,6,greenhouse:Automatoes,0.058253493160009384,1.6341943740844727,3925
air_temperature_c,6,greenhouse:Digilog,0.045593272894620895,1.5208319425582886,3925
air_temperature_c,6,greenhouse:IUACAAS,0.05593958497047424,1.3472996950149536,3925
air_temperature_c,6,greenhouse:Reference,0.03316248953342438,0.9630597829818726,3925
air_temperature_c,6,greenhouse:TheAutomators,0.035368677228689194,1.158035159111023,3925
air_humidity_pct,1,all,0.016933223232626915,5.738655090332031,23550
air_humidity_pct,1,day,-0.016668207943439484,6.352169990539551,11808
air_humidity_pct,1,night,0.05072353780269623,5.046810150146484,11742
air_humidity_pct,1,statistical_extreme,-2.6622209548950195,8.25265121459961,3310
air_humidity_pct,1,normal,0.4550754725933075,5.080753803253174,20240
air_humidity_pct,1,greenhouse:AICU,0.06625141203403473,4.947650909423828,3925
air_humidity_pct,1,greenhouse:Automatoes,0.003855509217828512,5.133537769317627,3925
air_humidity_pct,1,greenhouse:Digilog,0.0339333675801754,6.182936191558838,3925
air_humidity_pct,1,greenhouse:IUACAAS,0.07403767853975296,5.607733249664307,3925
air_humidity_pct,1,greenhouse:Reference,-0.03622790426015854,6.136364459991455,3925
air_humidity_pct,1,greenhouse:TheAutomators,-0.04025071859359741,6.278369903564453,3925
air_humidity_pct,2,all,0.006347700487822294,5.740916728973389,23550
air_humidity_pct,2,day,-0.016668207943439484,6.352169990539551,11808
air_humidity_pct,2,night,0.029492979869246483,5.0520853996276855,11742
air_humidity_pct,2,statistical_extreme,-2.6881589889526367,8.293493270874023,3317
air_humidity_pct,2,normal,0.44808533787727356,5.069492340087891,20233
air_humidity_pct,2,greenhouse:AICU,0.05793081596493721,4.927839279174805,3925
air_humidity_pct,2,greenhouse:Automatoes,-0.007070849183946848,5.132558822631836,3925
air_humidity_pct,2,greenhouse:Digilog,0.019953589886426926,6.206330299377441,3925
air_humidity_pct,2,greenhouse:IUACAAS,0.05976182967424393,5.622250080108643,3925
air_humidity_pct,2,greenhouse:Reference,-0.04018836095929146,6.131024360656738,3925
air_humidity_pct,2,greenhouse:TheAutomators,-0.05230085551738739,6.276369571685791,3925
air_humidity_pct,3,all,-0.006836412940174341,5.7449564933776855,23550
air_humidity_pct,3,day,-0.016668207943439484,6.352169990539551,11808
air_humidity_pct,3,night,0.003050633706152439,5.061373233795166,11742
air_humidity_pct,3,statistical_extreme,-2.726792573928833,8.357872009277344,3323
air_humidity_pct,3,normal,0.4400126039981842,5.053277015686035,20227
air_humidity_pct,3,greenhouse:AICU,0.04627077654004097,4.90617036819458,3925
air_humidity_pct,3,greenhouse:Automatoes,-0.022662663832306862,5.150054454803467,3925
air_humidity_pct,3,greenhouse:Digilog,0.004496292676776648,6.229997158050537,3925
air_humidity_pct,3,greenhouse:IUACAAS,0.04315447434782982,5.63198184967041,3925
air_humidity_pct,3,greenhouse:Reference,-0.045556314289569855,6.1245856285095215,3925
air_humidity_pct,3,greenhouse:TheAutomators,-0.06672106683254242,6.275360584259033,3925
air_humidity_pct,4,all,-0.018383637070655823,5.737456798553467,23550
air_humidity_pct,4,day,-0.016668207943439484,6.352169990539551,11808
air_humidity_pct,4,night,-0.020108718425035477,5.044302463531494,11742
