method,fold,target,horizon,mae,rmse,r2,nmae,relative_seasonal_improvement_pct,config,benchmark_status
seasonal_24,repeated_external_agc4,air_temperature_c,1,1.1414598226547241,1.7115484392341838,0.5530734062194824,0.1025735857461559,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_temperature_c,2,1.1412156820297241,1.7115564489614614,0.5533318519592285,0.10255164684052336,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_temperature_c,3,1.1407793760299683,1.7111725667483506,0.5536675453186035,0.1025124396165902,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_temperature_c,4,1.1408826112747192,1.7113860078072702,0.5537929534912109,0.10252171651711646,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_temperature_c,5,1.14139723777771,1.713550053569208,0.5531226992607117,0.1025679617591163,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_temperature_c,6,1.1416069269180298,1.7148785772241113,0.5528662204742432,0.102586804793788,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_humidity_pct,1,3.945406675338745,5.797178358175976,0.5214049816131592,0.14200624166407397,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_humidity_pct,2,3.9459004402160645,5.797585333310885,0.5210320949554443,0.14202401364558656,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_humidity_pct,3,3.9461381435394287,5.797760353443974,0.5206763744354248,0.1420325692542626,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_humidity_pct,4,3.946767807006836,5.798113338503553,0.5202698111534119,0.14205523260683373,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_humidity_pct,5,3.947356939315796,5.798565641162739,0.5199528336524963,0.14207643712944001,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,air_humidity_pct,6,3.9484331607818604,5.799115264762713,0.5196002721786499,0.14211517335568238,0.0,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_temperature_c,1,3.0864856243133545,3.3004196420360845,-0.6618666648864746,0.2773570226094134,-170.39809575908077,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_temperature_c,2,3.1357920169830322,3.4052254072017814,-0.7680490016937256,0.28178778170926017,-174.7764569275659,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_temperature_c,3,1.1407793760299683,1.7111725667483506,0.5536675453186035,0.1025124396165902,0.0,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_temperature_c,4,1.1408826112747192,1.7113860078072702,0.5537929534912109,0.10252171651711646,0.0,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_temperature_c,5,1.14139723777771,1.713550053569208,0.5531226992607117,0.1025679617591163,0.0,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_temperature_c,6,1.1416069269180298,1.7148785772241113,0.5528662204742432,0.102586804793788,0.0,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_humidity_pct,1,2.2033751010894775,3.075512547149392,0.8652992844581604,0.07930564396255839,44.15340971408733,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_humidity_pct,2,3.2272486686706543,4.463707059142531,0.71607506275177,0.11615772265452408,18.212617941928084,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_humidity_pct,3,4.218720436096191,5.741287929111459,0.5299685001373291,0.15184356976584854,-6.907570962842019,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_humidity_pct,4,3.946767807006836,5.798113338503553,0.5202698111534119,0.14205523260683373,0.0,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_humidity_pct,5,3.947356939315796,5.798565641162739,0.5199528336524963,0.14207643712944001,0.0,deployment_compatible,repeated_external_not_unseen
champion_registry,repeated_external_agc4,air_humidity_pct,6,3.9484331607818604,5.799115264762713,0.5196002721786499,0.14211517335568238,0.0,deployment_compatible,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,par_umol_m2_s,1,33.238582611083984,66.57713674166793,0.6377452611923218,0.05037323260862467,0.0,par_research,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,par_umol_m2_s,2,33.25081253051758,66.59456753956174,0.6374042630195618,0.05039176711064064,0.0,par_research,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,par_umol_m2_s,3,33.28839874267578,66.62698607499442,0.6368812322616577,0.05044872919684256,0.0,par_research,repeated_external_not_unseen
seasonal_24,repeated_external_agc4,par_umol_m2_s,4,33.332557678222656,66.66642415320474,0.6363629102706909,0.050515652277109836,0.0,par_research,repeated_external_not_unseen
