method,fold,target,horizon,mae,rmse,r2,nmae,relative_seasonal_improvement_pct,config
seasonal_24,rolling_1,air_temperature_c,1,0.8049087524414062,1.234241381789159,0.8566948175430298,0.07865507801316919,0.0,deployment_compatible
seasonal_24,rolling_1,air_temperature_c,2,0.8036567568778992,1.233211113484282,0.8570586442947388,0.0785327339481791,0.0,deployment_compatible
seasonal_24,rolling_1,air_temperature_c,3,0.8028412461280823,1.2328694493589325,0.8573654294013977,0.07845304285095489,0.0,deployment_compatible
seasonal_24,rolling_1,air_temperature_c,4,0.8023269176483154,1.232596891281736,0.857657790184021,0.07840278305867687,0.0,deployment_compatible
seasonal_24,rolling_1,air_temperature_c,5,0.8018336892127991,1.232461290892943,0.8577179908752441,0.07835458514685621,0.0,deployment_compatible
seasonal_24,rolling_1,air_temperature_c,6,0.8007259964942932,1.231456154541883,0.8579635620117188,0.07824634224736676,0.0,deployment_compatible
seasonal_24,rolling_1,air_humidity_pct,1,2.916196584701538,4.486057298230576,0.40872037410736084,0.11778233792097836,0.0,deployment_compatible
seasonal_24,rolling_1,air_humidity_pct,2,2.9125099182128906,4.483737594549045,0.4091649651527405,0.1176334370545396,0.0,deployment_compatible
seasonal_24,rolling_1,air_humidity_pct,3,2.90838623046875,4.480921249354861,0.40958815813064575,0.11746688532551387,0.0,deployment_compatible
seasonal_24,rolling_1,air_humidity_pct,4,2.903532028198242,4.477628411220034,0.4093051552772522,0.11727082882673012,0.0,deployment_compatible
seasonal_24,rolling_1,air_humidity_pct,5,2.900364875793457,4.4763309225796055,0.4079383611679077,0.11714291062781836,0.0,deployment_compatible
seasonal_24,rolling_1,air_humidity_pct,6,2.898556709289551,4.475478648581751,0.40782201290130615,0.11706988054497082,0.0,deployment_compatible
persistence,rolling_1,air_temperature_c,1,0.9421247839927673,1.3950605055973913,0.8169170618057251,0.0920637254326361,-17.047402098084376,deployment_compatible
persistence,rolling_1,air_temperature_c,2,1.6792540550231934,2.390535140997818,0.46287745237350464,0.16409544349114896,-108.9516501481148,deployment_compatible
persistence,rolling_1,air_temperature_c,3,2.3207244873046875,3.1865262806932613,0.04714757204055786,0.2267794517606642,-189.063933685147,deployment_compatible
persistence,rolling_1,air_temperature_c,4,2.9043381214141846,3.834282854211921,-0.3773993253707886,0.28380973721997566,-261.98936587183596,deployment_compatible
persistence,rolling_1,air_temperature_c,5,3.42423677444458,4.356360483615653,-0.7776695489883423,0.3346138426406384,-327.0507488661804,deployment_compatible
persistence,rolling_1,air_temperature_c,6,3.8144843578338623,4.7507978070495485,-1.1139514446258545,0.37274854303100247,-376.3782335698212,deployment_compatible
persistence,rolling_1,air_humidity_pct,1,1.9700709581375122,2.9173325096503473,0.7499452233314514,0.07956924596131316,32.44382191267323,deployment_compatible
persistence,rolling_1,air_humidity_pct,2,3.229977607727051,4.568146229729987,0.3867100477218628,0.13045564762892584,-10.900141061458001,deployment_compatible
persistence,rolling_1,air_humidity_pct,3,4.210079669952393,5.756327257663036,0.025658011436462402,0.17004101471140176,-44.75655350884556,deployment_compatible
persistence,rolling_1,air_humidity_pct,4,4.94795560836792,6.617742630012884,-0.2902885675430298,0.19984310472760394,-70.41160766662266,deployment_compatible
persistence,rolling_1,air_humidity_pct,5,5.553432464599609,7.273841330424751,-0.5633282661437988,0.22429772485099705,-91.47358013292548,deployment_compatible
persistence,rolling_1,air_humidity_pct,6,6.0206298828125,7.757944034871183,-0.7793711423873901,0.2431673732404218,-107.71130209448907,deployment_compatible
seasonal_residual_xgboost,rolling_1,air_temperature_c,1,0.5596071481704712,0.8000686079646929,0.9397833943367004,0.054684389705750784,30.47570342935138,deployment_compatible
